es_siniestro_vial,fecha_siniestro,hora_aprox,tipo_ubicacion,ubicacion_calle1,ubicacion_calle2,altura,ruta_nombre,kilometro,ciudad,vehiculos_involucrados,hubo_peatones,cantidad_heridos,cantidad_fallecidos,gravedad,resumen_breve,url,clima_real,lluvia_mm;,lluvia_mm
True,2026-05-01,08:00,interseccion,Avenida Pellegrini,Pascual Rosas,,,,Rosario,"Peugeot 307, Chevrolet Corsa",False,0,0,Moderado,"Choque y vuelco entre un Peugeot 307 y un Chevrolet Corsa en Avenida Pellegrini y Pascual Rosas, Rosario.",https://www.lacapital.com.ar/la-ciudad/un-choque-impresionante-avenida-pellegrini-termino-un-auto-dado-vuelta-n10257107.html,Nublado,0.0;,0.0
True,2026-05-13,16:00,interseccion,Santa Fe,Bulevar Avellaneda,,,,Rosario,"Toyota Yaris, Citroën C4",False,0,0,Leve,Siniestro vial con vuelco entre un Toyota Yaris y un Citroën C4 en Rosario; no hubo heridos graves.,https://www.lacapital.com.ar/la-ciudad/una-diputada-provincial-protagonizo-un-siniestro-vial-la-zona-oeste-rosario-no-hubo-heridos-gravedad-n10259230.html,Nublado,0.0,0.0
True,2026-04-04,00:00,interseccion,Avenida Pellegrini,España,,,,Rosario,"motocicleta Corven Energy, automóvil Peugeot 206",False,1,0,Moderado,"Un motociclista robó un rodado, cruzó en rojo en Rosario y chocó contra un automóvil quedando hospitalizado.",https://www.lacapital.com.ar/policiales/robo-huyo-y-termino-el-hospital-despues-un-choque-haber-cruzado-rojo-n10252575.html,Lluvia,8.5;,8.5
True,2026-03-26,05:30,interseccion,Avenida Pellegrini,Maipú,,,,Rosario,"Taxi Fiat Cronos, Volkswagen Gol",False,2,0,Leve,Taxi y Volkswagen Gol colisionaron en Pellegrini y Maipú; dos personas resultaron con lesiones leves tras el impacto.,https://www.lacapital.com.ar/la-ciudad/un-choque-fortisimo-avenida-pellegrini-termino-un-taxi-y-otro-auto-destrozados-n10251072.html,Nublado,0.0,0.0
True,2026-03-16,07:50,interseccion,Avenida Circunvalación,Avenida Presidente Perón,,,,Rosario,"Fiat Punto, Peugeot 208, Dodge RAM, Toyota Hilux, Pick up",False,0,0,Leve,"Choque en cadena de cinco vehículos en Circunvalación, Rosario, provocado al intentar esquivar un perro suelto.",https://www.lacapital.com.ar/la-ciudad/un-perro-suelto-avenida-circunvalacion-provoco-un-gran-choque-cadena-n10249440.html,Parcialmente nublado,0.0;,0.0
True,2026-02-17,23:30,interseccion,Avenida Circunvalación,Doctor Vicente Medina,,,,Rosario,"Honda Wave, Camión",False,0,1,Fatal,Un motociclista falleció tras chocar con un camión en Circunvalación y Doctor Vicente Medina; el camionero se fugó.,https://www.lacapital.com.ar/la-ciudad/choque-circunvalacion-murio-un-motociclista-y-denuncian-que-un-conductor-se-fugo-n10245296.html,Llovizna,0.5,0.5
True,2026-02-06,11:00,interseccion,Bulevar Rondeau,Vila,,,,Rosario,Peugeot Partner,True,0,1,Fatal,Un hombre falleció atropellado por una Peugeot Partner en la intersección de Bulevar Rondeau y calle Vila en Rosario.,https://www.lacapital.com.ar/la-ciudad/muerte-zona-norte-un-hombre-fue-atropellado-cuando-cruzaba-bulevar-rondeau-n10243561.html,Llovizna,0.2;,0.2
True,2026-01-14,12:00,interseccion,Avenida Circunvalación,Uriburu,,,,Rosario,"Camión Ford Cargo 1722, Camión con volquete",False,1,0,Moderado,Choque frontal entre dos camiones en Circunvalación y Uriburu con un conductor atrapado y trasladado al hospital.,https://www.lacapital.com.ar/la-ciudad/choque-camiones-circunvalacion-y-uriburu-un-chofer-quedo-atrapado-n10239918.html,Llovizna,0.9;,0.9
True,2026-01-13,06:30,interseccion,27 de Febrero,Circunvalación,,,,Rosario,"Camion de carga, Acoplado cisterna",True,0,1,Fatal,Camionero fallece en el puerto de Rosario tras ser embestido por otro transporte durante maniobras en el acceso.,https://www.lacapital.com.ar/la-ciudad/tragedia-el-puerto-rosario-investigan-la-muerte-un-camionero-la-entrada-n10239637.html,Lluvia,1.6;,1.6
True,2026-01-13,08:30,interseccion,Ocampo,Constitucion,,,,Rosario,Volkswagen,True,1,0,Moderado,Menor de 15 años atropelló a un trabajador y chocó con su vehículo en Rosario.,https://www.lacapital.com.ar/la-ciudad/choques-auto-y-un-hombre-atropellado-una-chica-15-anos-cual-es-la-sancion-n10239852.html,Lluvia,1.6;,1.6
True,2026-08-14,21:05,interseccion,Avenida Circunvalación,Avenida Pellegrini,,,,Rosario,"Motocicleta Motomel S2 150 cc, Camión con acoplado",False,2,0,Grave,Dos hombres en moto resultaron heridos tras caer debajo del acoplado de un camión en Circunvalación y Pellegrini.,https://www.rosario3.com/policiales/fuerte-choque-en-circunvalacion-dos-hombres-heridos-tras-caer-con-su-moto-debajo-de-un-acoplado-20260815-0003.html,Llovizna,,2.6
