es_siniestro_vial,fecha_siniestro,hora_aprox,tipo_ubicacion,ubicacion_calle1,ubicacion_calle2,altura,ruta_nombre,kilometro,ciudad,vehiculos_involucrados,hubo_peatones,cantidad_heridos,cantidad_fallecidos,gravedad,resumen_breve,url,clima_real,lluvia_mm
True,2026-07-07,07:00,interseccion,Avenida Eva Perón,Colombia,,,,Rosario,Vehículo de gran porte,False,0,0,Leve,"Un vehículo de gran porte enganchó cables y derribó un semáforo en Avenida Eva Perón y Colombia, Rosario.",https://www.lacapital.com.ar/la-ciudad/insolito-corte-transito-rosario-un-semaforo-se-partio-y-cayo-plena-calle-n10268399.html,Nublado,0.0
True,2026-07-17,23:30,interseccion,Brown,España,,,,Rosario,"Jeep Compact, Peugeot 208, Renault Clio",False,0,0,Leve,"Un Jeep volcó tras chocar con un Peugeot 208 en Brown y España, dañando también a otros vehículos estacionados.",https://www.lacapital.com.ar/la-ciudad/un-choque-impresionante-termino-un-jeep-dado-vuelta-el-centro-rosario-n10270192.html,Lluvia,10.5
True,2026-07-08,08:30,interseccion,Avenida Rivarola,Danieri,,,,Rosario,"Motomel DLX 110, Renault 19, Automóvil estacionado",False,0,1,Fatal,Motociclista fallece tras colisionar contra un automóvil estacionado en la intersección de avenida Rivarola y Danieri.,https://www.lacapital.com.ar/la-ciudad/fallecieron-dos-motociclistas-la-zona-oeste-poco-mas-12-horas-diferencia-n10268604.html,Nublado,0.0
True,2026-06-16,22:30,interseccion,Bulevar Oroño,Gaboto,,,,Rosario,"Motocicleta Yamaha Tenere 250cc, Colectivo Linea 129",False,0,1,Fatal,Motociclista falleció tras colisionar con un colectivo de la línea 129 en el cruce de Oroño y Gaboto.,https://www.lacapital.com.ar/la-ciudad/fallecio-un-motociclista-luego-un-choque-un-colectivo-bulevar-orono-n10264915.html,Nublado,0.0
True,2026-05-13,05:00,interseccion,Avenida San Martín,Amenábar,,,,Rosario,Fiat Palio,False,0,1,Fatal,Un conductor de 36 años murió tras despistarse con su Fiat Palio e impactar contra viviendas en Rosario.,https://www.lacapital.com.ar/la-ciudad/choque-estremecedor-y-vecinos-atrapados-un-automovilista-murio-la-colision-n10259091.html,Nublado,0.0
True,2026-05-01,08:00,interseccion,Avenida Pellegrini,Pascual Rosas,,,,Rosario,"Peugeot 307, Chevrolet Corsa",False,0,0,Moderado,"Choque y vuelco entre un Peugeot 307 y un Chevrolet Corsa en Avenida Pellegrini y Pascual Rosas, Rosario.",https://www.lacapital.com.ar/la-ciudad/un-choque-impresionante-avenida-pellegrini-termino-un-auto-dado-vuelta-n10257107.html,Nublado,0.0
True,2026-05-13,16:00,interseccion,Santa Fe,Bulevar Avellaneda,,,,Rosario,"Toyota Yaris, Citroën C4",False,0,0,Leve,La diputada Lionella Cattalini protagonizó un choque y vuelco en Rosario; no se registraron heridos de gravedad.,https://www.lacapital.com.ar/la-ciudad/una-diputada-provincial-protagonizo-un-siniestro-vial-la-zona-oeste-rosario-no-hubo-heridos-gravedad-n10259230.html,Nublado,0.0
True,2026-05-18,06:45,interseccion,Avenida Circunvalación,Avenida Uriburu,,,,Rosario,"Motocicleta, Camión, Toyota Hilux",False,0,1,Fatal,Motociclista falleció tras chocar con un camión y ser embestido por una camioneta en Avenida Circunvalación y Uriburu.,https://www.lacapital.com.ar/la-ciudad/un-motociclista-fallecio-un-choque-un-camion-avenida-circunvalacion-n10259844.html,Despejado,0.0
True,2026-02-06,11:00,interseccion,Bulevar Rondeau,Vila,,,,Rosario,Peugeot Partner,True,0,1,Fatal,"Un hombre falleció atropellado por una Peugeot Partner en la intersección de Bv. Rondeau y calle Vila, Rosario.",https://www.lacapital.com.ar/la-ciudad/muerte-zona-norte-un-hombre-fue-atropellado-cuando-cruzaba-bulevar-rondeau-n10243561.html,Llovizna,0.2
True,2026-04-04,00:00,interseccion,Avenida Pellegrini,España,,,,Rosario,"Corven Energy, Peugeot 206",False,1,0,Moderado,Ladrón de una motocicleta cruzó en rojo en Rosario y chocó contra un automóvil resultando herido.,https://www.lacapital.com.ar/policiales/robo-huyo-y-termino-el-hospital-despues-un-choque-haber-cruzado-rojo-n10252575.html,Lluvia,8.5
True,2026-02-17,23:30,interseccion,Avenida Circunvalación,Doctor Vicente Medina,,,,Rosario,"motocicleta Honda Wave, camión",False,0,1,Fatal,"Motociclista fallece tras ser embestido por un camión que se dio a la fuga en Avenida Circunvalación, Rosario.",https://www.lacapital.com.ar/la-ciudad/choque-circunvalacion-murio-un-motociclista-y-denuncian-que-un-conductor-se-fugo-n10245296.html,Llovizna,0.5
True,2026-03-16,07:50,interseccion,Avenida Circunvalación,Avenida Presidente Perón,,,,Rosario,"Fiat Punto, Peugeot 208, Dodge RAM, Toyota Hilux, Pick up",False,0,0,Leve,"Choque en cadena de cinco vehículos en Circunvalación, Rosario, provocado al intentar esquivar un perro suelto.",https://www.lacapital.com.ar/la-ciudad/un-perro-suelto-avenida-circunvalacion-provoco-un-gran-choque-cadena-n10249440.html,Parcialmente nublado,0.0
True,2026-03-26,05:30,interseccion,Avenida Pellegrini,Maipú,,,,Rosario,"Taxi Fiat Cronos, Volkswagen Gol",False,2,0,Leve,Choque entre un taxi y un Volkswagen Gol en la esquina de Pellegrini y Maipú; dos personas resultaron heridas.,https://www.lacapital.com.ar/la-ciudad/un-choque-fortisimo-avenida-pellegrini-termino-un-taxi-y-otro-auto-destrozados-n10251072.html,Nublado,0.0
True,2026-01-13,06:30,interseccion,27 de Febrero,Circunvalación,,,,Rosario,Camión,True,0,1,Fatal,Camionero fallecido tras ser atropellado por otro transporte de carga en el ingreso al puerto de Rosario.,https://www.lacapital.com.ar/la-ciudad/tragedia-el-puerto-rosario-investigan-la-muerte-un-camionero-la-entrada-n10239637.html,Lluvia,1.6
True,2026-01-13,08:30,interseccion,Ocampo,Constitución,,,,Rosario,Automóvil Volkswagen,True,1,0,Grave,Menor de 15 años atropelló a un operario y chocó contra un contenedor y un inmueble en Rosario.,https://www.lacapital.com.ar/la-ciudad/choques-auto-y-un-hombre-atropellado-una-chica-15-anos-cual-es-la-sancion-n10239852.html,Lluvia,1.6
True,2026-01-14,11:55,interseccion,Avenida Circunvalación,Uriburu,,,,Rosario,"Camión Ford Cargo 1722, Camión con volquete",False,1,0,Grave,Choque frontal de dos camiones en Circunvalación y Uriburu dejó un conductor atrapado y trasladado al Heca.,https://www.lacapital.com.ar/la-ciudad/choque-camiones-circunvalacion-y-uriburu-un-chofer-quedo-atrapado-n10239918.html,Llovizna,0.9
